```
## Annotations for the text:
## Licenses of the individial snippets can be found in pkl files
## 
### 01
CONFERENCE: International Semantic Web Conference 2019
DATASET: Mauls Creek
EVALMETRIC: Precision
LICENSE: cc-by-3
ONTOLOGY: Intelligence Task Ontology
PROJECT: Paper With Code
PUBLICATION: Proceedings of the 32nd ACM International Conference on Information and Knowledge Management
SOFTWARE: Protege ontology editor
WORKSHOP: Thermal Image Super-Resolution
### 02
PAV-SOD: Panoramic Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
PAV-SOD: Audiovisual Saliency Detection
