entity_text,gold_name,entity_type
MNIST,mnist,DATASET
mnist,mnist,DATASET
mnist,mnist,DATASET
mnist,mnist,DATASET
HAIM-MIMIC-MM,haim-mimic-mm,DATASET
MIMIC-IV,mimic-iv,DATASET
MIMIC-IV,mimic-iv,DATASET
mimic-iv-note,mimic-iv-note,DATASET
MIMIC-IV,mimic-iv,DATASET
MIMIC-IV,mimic-iv,DATASET
CoNLL04,conll04,DATASET
ADE,ade,DATASET
CoNLL04,conll04,DATASET
conll04,conll04,DATASET
conll04,conll04,DATASET
conll04,conll04,DATASET
conll04,conll04,DATASET
conll04,conll04,DATASET
CoNLL04,conll04,DATASET
conll04,conll04,DATASET
BabelDomains,babeldomains,DATASET
TACRED,tacred,DATASET
NLI,nli,DATASET
NLI,nli,DATASET
Standford Natural Language Inference,standford natural language inference,DATASET
SNLI,snli,DATASET
Multi Natural Language Inference,multi natural language inference,DATASET
MNLI,mnli,DATASET
Fever-nli,fever-nli,DATASET
Adversarial Natural Language Inference,adversarial natural language inference,DATASET
ANLI,anli,DATASET
ACE-arg,ace-arg,DATASET
ACE-arg,ace-arg,DATASET
NLI,nli,DATASET
babeldomains,babeldomains,DATASET
TACRED,tacred,DATASET
TACRED,tacred,DATASET
FinGPT/fingpt-forecaster-dow30-202305-202405,fingpt/fingpt-forecaster-dow30-202305-202405,DATASET
TFNS,tfns,DATASET
NWGI,nwgi,DATASET
fingpt-sentiment-train,fingpt-sentiment-train,DATASET
FinGPT/fingpt-sentiment-train,fingpt/fingpt-sentiment-train,DATASET
fingpt-finred,fingpt-finred,DATASET
FinGPT/fingpt-finred,fingpt/fingpt-finred,DATASET
FinGPT/fingpt-headline,fingpt/fingpt-headline,DATASET
fingpt-ner,fingpt-ner,DATASET
FinGPT/fingpt-ner,fingpt/fingpt-ner,DATASET
fingpt-fiqa_qa,fingpt-fiqa_qa,DATASET
FinGPT/fingpt-fiqa_qa,fingpt/fingpt-fiqa_qa,DATASET
fingpt-fineval,fingpt-fineval,DATASET
FinGPT/fingpt-fineval,fingpt/fingpt-fineval,DATASET
FPB,fpb,DATASET
financial_phrasebank,financial_phrasebank,DATASET
FiQA-SA,fiqa-sa,DATASET
pauri32/fiqa-2018,pauri32/fiqa-2018,DATASET
TFNS,tfns,DATASET
zeroshot/twitter-financial-news-sentiment,zeroshot/twitter-financial-news-sentiment,DATASET
NWGI,nwgi,DATASET
oliverwang15/news_with_gpt_instructions,oliverwang15/news_with_gpt_instructions,DATASET
PromptNet,promptnet,DATASET
ImageNet,imagenet,DATASET
WordNet,wordnet,DATASET
PromptNet,promptnet,DATASET
Ketton Limestone,ketton limestone,DATASET
Maules Creek,maules creek,DATASET
Maules Creek,maules creek,DATASET
Maules Creek,maules creek,DATASET
Maules Creek,maules creek,DATASET
Maules Creek,maules creek,DATASET
Caltech UCSD Birds,caltech ucsd birds,DATASET
Butterfly200,butterfly200,DATASET
Vegfru,vegfru,DATASET
Butterfly200,butterfly200,DATASET
CUB_200_2011,cub_200_2011,DATASET
Vegfru,vegfru,DATASET
Butterfly200,butterfly200,DATASET
CUB_200_2011,cub_200_2011,DATASET
Vegfru,vegfru,DATASET
Butterfly200,butterfly200,DATASET
CUB_200_2011,cub_200_2011,DATASET
Vegfru,vegfru,DATASET
Caltech UCSD Birds,caltech ucsd birds,DATASET
CUB-200,cub-200,DATASET
Butterfly 200,butterfly 200,DATASET
Caltech UCSD birds,caltech ucsd birds,DATASET
Butterfly-200,butterfly-200,DATASET
VegFru,vegfru,DATASET
CUB_200_2011,cub_200_2011,DATASET
Butterfly200,butterfly200,DATASET
Vegfru,vegfru,DATASET
CUB_200_2011,cub_200_2011,DATASET
Butterfly200,butterfly200,DATASET
Vegfru,vegfru,DATASET
CUB_200_2011,cub_200_2011,DATASET
