entity_text,pwc_gold_name,entity_type
MNIST,mnist,DATASET
mnist,mnist,DATASET
mnist,mnist,DATASET
mnist,mnist,DATASET
HAIM-MIMIC-MM,NIL,DATASET
MIMIC-IV,mimic-iv,DATASET
MIMIC-IV,mimic-iv,DATASET
mimic-iv-note,mimic-iv-note,DATASET
MIMIC-IV,mimic-iv,DATASET
MIMIC-IV,mimic-iv,DATASET
CoNLL04,conll04,DATASET
ADE,NIL,DATASET
CoNLL04,conll04,DATASET
conll04,conll04,DATASET
conll04,conll04,DATASET
conll04,conll04,DATASET
conll04,conll04,DATASET
conll04,conll04,DATASET
CoNLL04,conll04,DATASET
conll04,conll04,DATASET
BabelDomains,NIL,DATASET
TACRED,tacred,DATASET
NLI,NIL,DATASET
NLI,NIL,DATASET
Standford Natural Language Inference,snil,DATASET
SNLI,snli,DATASET
Multi Natural Language Inference,NIL,DATASET
MNLI,NIL,DATASET
Fever-nli,fever,DATASET
Adversarial Natural Language Inference,anli,DATASET
ANLI,anli,DATASET
ACE-arg,NIL,DATASET
ACE-arg,NIL,DATASET
NLI,NIL,DATASET
babeldomains,NIL,DATASET
TACRED,tacred,DATASET
TACRED,tacred,DATASET
FinGPT/fingpt-forecaster-dow30-202305-202405,NIL,DATASET
TFNS,NIL,DATASET
NWGI,NIL,DATASET
fingpt-sentiment-train,NIL,DATASET
FinGPT/fingpt-sentiment-train,NIL,DATASET
fingpt-finred,finred,DATASET
FinGPT/fingpt-finred,finred,DATASET
FinGPT/fingpt-headline,NIL,DATASET
fingpt-ner,NIL,DATASET
FinGPT/fingpt-ner,NIL,DATASET
fingpt-fiqa_qa,NIL,DATASET
FinGPT/fingpt-fiqa_qa,NIL,DATASET
fingpt-fineval,NIL,DATASET
FinGPT/fingpt-fineval,NIL,DATASET
FPB,NIL,DATASET
financial_phrasebank,NIL,DATASET
FiQA-SA,NIL,DATASET
pauri32/fiqa-2018,NIL,DATASET
TFNS,NIL,DATASET
zeroshot/twitter-financial-news-sentiment,NIL,DATASET
NWGI,NIL,DATASET
oliverwang15/news_with_gpt_instructions,NIL,DATASET
PromptNet,NIL,DATASET
ImageNet,imagenet,DATASET
WordNet,languagenet,DATASET
PromptNet,NIL,DATASET
Ketton Limestone,NIL,DATASET
Maules Creek,NIL,DATASET
Maules Creek,NIL,DATASET
Maules Creek,NIL,DATASET
Maules Creek,NIL,DATASET
Maules Creek,NIL,DATASET
Caltech UCSD Birds,NIL,DATASET
Butterfly200,NIL,DATASET
Vegfru,vegfru,DATASET
Butterfly200,NIL,DATASET
CUB_200_2011,cub-200-2011,DATASET
Vegfru,vegfru,DATASET
Butterfly200,NIL,DATASET
CUB_200_2011,cub-200-2011,DATASET
Vegfru,vegfru,DATASET
Butterfly200,NIL,DATASET
CUB_200_2011,cub-200-2011,DATASET
Vegfru,vegfru,DATASET
Caltech UCSD Birds,NIL,DATASET
CUB-200,cub-200-2011,DATASET
Butterfly 200,NIL,DATASET
Caltech UCSD birds,NIL,DATASET
Butterfly-200,NIL,DATASET
VegFru,vegfru,DATASET
CUB_200_2011,cub-200-2011,DATASET
Butterfly200,NIL,DATASET
Vegfru,vegfru,DATASET
CUB_200_2011,cub-200-2011,DATASET
Butterfly200,NIL,DATASET
Vegfru,vegfru,DATASET
CUB_200_2011,cub-200-2011,DATASET
Butterfly200,NIL,DATASET
Vegfru,vegfru,DATASET
greek_legal_code,NIL,DATASET
ISBI 2012 EM segmentation benchmark,NIL,DATASET
BBBC010 C. elegans,NIL,DATASET
3d fluorescence microscopy,NIL,DATASET
3d light microscopy data of drosophila neurons,NIL,DATASET
FlyLight Instances Segmentation Benchmark,NIL,DATASET
nuclei3d,NIL,DATASET
The FlyLight Instance Segmentation Datset,NIL,DATASET
CaLiGraph,NIL,DATASET
