,sentence,entity_text,entity_type
0,"The MNIST dataset is included in the package but it must be unziped, on a Unix machine run the following command:  ``` unzip .",MNIST,DATASET
1,/datasets/mnist.zip -d .,mnist,DATASET
2,/datasets/mnist/train` and `.,mnist,DATASET
3,/datasets/mnist/test` needed for the experiments.,mnist,DATASET
4,"Locating and Detecting Language Model Grounding with Fakepedia  This repository contains the data and code to reproduce the results of our paper: https://arxiv.org/abs/2312.02073  Please use the following citation:  ``` @misc{monea2023glitch,       title={A Glitch in the Matrix?",Fakepedia,DATASET
5,"Locating and Detecting Language Model Grounding with Fakepedia},        author={Giovanni Monea and Maxime Peyrard and Martin Josifoski and Vishrav Chaudhary and Jason Eisner and Emre Kıcıman and Hamid Palangi and Barun Patra and Robert West},       year={2023},       eprint={2312.02073},       archivePrefix={arXiv},       primaryClass={cs.CL} } ```  > **Abstract:** Large language models (LLMs) have an impressive ability to draw on novel information supplied in their context.",Fakepedia,DATASET
6,"We present a novel method to study grounding abilities using Fakepedia, a dataset of counterfactual texts constructed to clash with a model's internal parametric knowledge.",Fakepedia,DATASET
7,"We benchmark various LLMs with Fakepedia and then we conduct a causal mediation analysis, based on our Masked Grouped Causal Tracing (MGCT), on LLM components when answering Fakepedia queries.",Fakepedia,DATASET
8,"We benchmark various LLMs with Fakepedia and then we conduct a causal mediation analysis, based on our Masked Grouped Causal Tracing (MGCT), on LLM components when answering Fakepedia queries.",Fakepedia,DATASET
9,"We evaluate our HAIM framework by training and characterizing 14,324 independent models based on HAIM-MIMIC-MM, a multimodal clinical database (N=34,537 samples) containing 7,279 unique hospitalizations and 6,485 patients, spanning all possible input combinations of 4 data modalities (i.e., tabular, time-series, text, and images), 11 unique data sources and 12 predictive tasks.",HAIM-MIMIC-MM,DATASET
10,"Noteevents.csv are public and available for download at Physionet.org; however, other ""NOTES"" data requires pre-release direct permission from Physionet.org for download as ""discharge notes"", ""radiology notes"", ""ECG notes"" and ""ECHO notes"" are not yet publicly released for MIMIC-IV as of Sep 2022, these files are: ds_icustay.csv, ecg_icustay.csv, echo_icustay.csv, rad_icustay.csv).",MIMIC-IV,DATASET
11,"Please be advised that sufficient RAM or cluster access to parallel processing is needed to run these experiments.  ### UPDATE (Jan. 6, 2023) The radiology and the discharge notes for MIMIC-IV have been officially released on: https://physionet.org/content/mimic-iv-note/2.2/note/#files-panel  ### UPDATE (Jun. 12, 2023) For the publication, our team generated the file 'mimic-cxr-2.0.0-jpeg-txt.csv' by compiling an early-release version of participant notes and text from the images in CXR corresponding to MIMIC-IV.",MIMIC-IV,DATASET
