sentence,entity_text,entity_type
"Requirements ============  The code has been tested on `Ubuntu 18.04.2 LTS`, with `Python 2.7` , `Tensorflow 1.10` and `Numpy 1.15.1`.",Python 2.7,PROGLANG
"The command will be similar to this one:  ``` python test.py --arch=""lenet"" --type=""accuracy"" --batch=30000 --resume="".",python,PROGLANG
The generalizable properties and flexibility of our Holistic AI in Medicine (HAIM) framework could offer a promising pathway for future multimodal predictive systems in clinical and operational healthcare settings.  ## Code  The code uses Python3.6.9 and is separated into four sections:  0 - Software Package requirement  1 - Data Preprocessing.,Python3.6.9,PROGLANG
"If you use this code, please cite the paper using the bibtex reference below. ``` @inproceedings{tanl,     title={Structured Prediction as Translation between Augmented Natural Languages},     author={Giovanni Paolini and Ben Athiwaratkun and Jason Krone and Jie Ma and Alessandro Achille and Rishita Anubhai and Cicero Nogueira dos Santos and Bing Xiang and Stefano Soatto},     booktitle={9th International Conference on Learning Representations, {ICLR} 2021},     year={2021}, } ```   ## Requirements  - Python 3.6+ - PyTorch (tested with version 1.7.1) - Transformers (tested with version 4.0.0) - NetworkX (tested with version 2.5, only used in coreference resolution)  You can install all required Python packages with `pip install -r requirements.txt`   ## Datasets  By default, datasets are expected to be in `data/DATASET_NAME`.",Python,PROGLANG
"All relevant data was stored in a MariaDB database; an export of the table data is available [here](https://drive.google.com/drive/folders/1QGkh0MTT-lXiGh7ofzswA7042KVGEqq_).  ## Files/folders  **1-scrape**  - **Large-scale data collection (Python)** - The majority of event data was collected through Google's BigQuery service, using Python",Python,PROGLANG
"All relevant data was stored in a MariaDB database; an export of the table data is available [here](https://drive.google.com/drive/folders/1QGkh0MTT-lXiGh7ofzswA7042KVGEqq_).  ## Files/folders  **1-scrape**  - **Large-scale data collection (Python)** - The majority of event data was collected through Google's BigQuery service, using Python",Python,PROGLANG
- *usdValues.js*: Collect hourly USD pricing data from Coinbase and update each transaction with the most recent USD price.  **2-transform**  *algo.ipynb* contains the algorithm used to estimate the percentage of debt-financed collateral  **3-analyze**  *analysis.r* contains the R code used to create charts and tables for the final paper.,R,PROGLANG
"Also, please set 'objective' to 'binary', 'classification' or 'regression' based on your task.  ### Enable and specify GPU ```python import os os.environ['CUDA_VISIBLE_DEVICES'] = '0' os.environ['TF_FORCE_GPU_ALLOW_GROWTH'] = 'true' ```  ### Load Data ```python from sklearn.model_selection import train_test_split import openml  dataset = openml.datasets.get_dataset(40536) X, y, categorical_indicator, attribute_names = dataset.get_data(target=dataset.default_target_attribute) categorical_feature_indices = [idx for idx, idx_bool in enumerate(categorical_indicator) if idx_bool]  X_temp, X_test, y_temp, y_test = train_test_split(X, y, test_size=0.2, random_state=42)  X_train, X_valid, y_train, y_valid = train_test_split(X_temp, y_temp, test_size=0.2, random_state=42) ```  ### Preprocessing, Hyperparameters and Training  GRANDE requires categorical features to be encoded appropriately.",python,PROGLANG
"Also, please set 'objective' to 'binary', 'classification' or 'regression' based on your task.  ### Enable and specify GPU ```python import os os.environ['CUDA_VISIBLE_DEVICES'] = '0' os.environ['TF_FORCE_GPU_ALLOW_GROWTH'] = 'true' ```  ### Load Data ```python from sklearn.model_selection import train_test_split import openml  dataset = openml.datasets.get_dataset(40536) X, y, categorical_indicator, attribute_names = dataset.get_data(target=dataset.default_target_attribute) categorical_feature_indices = [idx for idx, idx_bool in enumerate(categorical_indicator) if idx_bool]  X_temp, X_test, y_temp, y_test = train_test_split(X, y, test_size=0.2, random_state=42)  X_train, X_valid, y_train, y_valid = train_test_split(X_temp, y_temp, test_size=0.2, random_state=42) ```  ### Preprocessing, Hyperparameters and Training  GRANDE requires categorical features to be encoded appropriately.",python,PROGLANG
"```python from GRANDE import GRANDE  params = {         'depth': 5, # tree depth         'n_estimators': 2048, # number of estimators / trees          'learning_rate_weights': 0.005, # learning rate for leaf weights         'learning_rate_index': 0.01, # learning rate for split indices         'learning_rate_values': 0.01, # learning rate for split values         'learning_rate_leaf': 0.01, # learning rate for leafs (logits)          'optimizer': 'adam', # optimizer         'cosine_decay_steps': 0, # decay steps for lr schedule (CosineDecayRestarts)          'loss': 'crossentropy', # loss function (default 'crossentropy' for binary & multi-class classification and 'mse' for regression)         'focal_loss': False, # use focal loss {True, False}         'temperature': 0.0, # temperature for stochastic re-weighted GD (0.0, 1.0)          'from_logits': True, # use logits for weighting {True, False}         'use_class_weights': True, # use class weights for training {True, False}          'dropout': 0.0, # dropout rate (here, dropout randomly disables individual estimators of the ensemble during training)          'selected_variables': 0.8, # feature subset percentage (0.0, 1.0)         'data_subset_fraction': 1.0, # data subset percentage (0.0, 1.0) }  args = {     'epochs': 1_000, # number of epochs for training     'early_stopping_epochs': 25, # patience for early stopping (best weights are restored)     'batch_size': 64,  # batch size for training      'cat_idx': categorical_feature_indices, # put list of categorical indices     'objective': 'binary', # objective / task {'binary', 'classification', 'regression'}          'random_seed': 42,     'verbose': 1,        }  model_grande = GRANDE(params=params, args=args)  model_grande.fit(X_train=X_train,           y_train=y_train,           X_val=X_valid,           y_val=y_valid)  preds_grande = model_grande.predict(X_test)  ```  ### Evaluate Model  ```python preds = model_grande.predict(X_test)  if args['objective'] == 'binary':     accuracy = sklearn.metrics.accuracy_score(y_test, np.round(preds_grande[:,1]))     f1_score = sklearn.metrics.f1_score(y_test, np.round(preds_grande[:,1]), average='macro')     roc_auc = sklearn.metrics.roc_auc_score(y_test, preds_grande[:,1], average='macro')          print('Accuracy:', accuracy)     print('F1 Score:', f1_score)     print('ROC AUC:', roc_auc) elif args['objective'] == 'classification':     accuracy = sklearn.metrics.accuracy_score(y_test, np.argmax(preds_grande, axis=1))     f1_score = sklearn.metrics.f1_score(y_test, np.argmax(preds_grande, axis=1), average='macro')     roc_auc = sklearn.metrics.roc_auc_score(y_test, preds_grande, average='macro', multi_class='ovo', labels=[i for i in range(preds_grande.shape[1])])      print('Accuracy GRANDE:', accuracy)     print('F1 Score GRANDE:', f1_score)     print('ROC AUC GRANDE:', roc_auc) else:     mean_absolute_error = sklearn.metrics.mean_absolute_error(y_test, np.round(preds_grande))     r2_score = sklearn.metrics.r2_score(y_test, np.round(preds_grande))      print('MAE GRANDE:', mean_absolute_error)     print('R2 Score GRANDE:', r2_score) ```  ## More  Please note that this is an experimental implementation which is not fully tested yet.",python,PROGLANG
