#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[57]|*[403]	ONTOLOGY[57]|DATASET[57]|EVALMETRIC[57]|SOFTWARE[57]|PUBLICATION[57]|WORKSHOP[57]|PROGLANG[57]|LICENSE[57]|PROJECT[57]|CONFERENCE[403]

#Text=# VN-EGNN: E(3)-Equivariant Graph Neural Networks with Virtual Nodes Enhance Protein Binding Site Identification  \[!
1-1	1-2	#	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-2	3-10	VN-EGNN	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-3	10-11	:	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-4	12-13	E	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-5	13-14	(	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-6	14-15	3	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-7	15-16	)	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
1-8	16-17	-	*[364]	WORKSHOP[364]|LICENSE[364]|DATASET[364]|PROJECT[364]|SOFTWARE[364]|PUBLICATION[364]|ONTOLOGY[364]|EVALMETRIC[364]|CONFERENCE[364]|PROGLANG[364]
