#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[57]|*[72]	DATASET[57]|ONTOLOGY[57]|EVALMETRIC[57]|SOFTWARE[57]|PUBLICATION[57]|PROJECT[57]|WORKSHOP[57]|PROGLANG[57]|LICENSE[57]|CONFERENCE[72]

#Text=####################################################################  Source code and datasets of Para-DPMM model for single cell transcriptomic clustering to reproduce results in paper "\[Parallel Clustering of Single Cell Transcriptomic Data with Split-Merge Sampling on Dirichlet Process Mixtures\](https://arxiv.org/pdf/1812.10048.pdf)", Author: Tiehang Duan\; José P.
1-1	1-2	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-2	2-3	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-3	3-4	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-4	4-5	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-5	5-6	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-6	6-7	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-7	7-8	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-8	8-9	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-9	9-10	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-10	10-11	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-11	11-12	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-12	12-13	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-13	13-14	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-14	14-15	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-15	15-16	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-16	16-17	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-17	17-18	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-18	18-19	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-19	19-20	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-20	20-21	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-21	21-22	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-22	22-23	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-23	23-24	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-24	24-25	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-25	25-26	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-26	26-27	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-27	27-28	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-28	28-29	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-29	29-30	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-30	30-31	#	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
