#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=  
0-0	0-2	 	*[720]|*[1100]	PROGLANG[720]|WORKSHOP[720]|LICENSE[720]|ONTOLOGY[720]|PROJECT[720]|SOFTWARE[720]|DATASET[720]|EVALMETRIC[720]|PUBLICATION[720]|CONFERENCE[1100]

#Text=!
1-1	2-3	!	*[1067]	EVALMETRIC[1067]|CONFERENCE[1067]|SOFTWARE[1067]|PROGLANG[1067]|WORKSHOP[1067]|ONTOLOGY[1067]|LICENSE[1067]|PROJECT[1067]|PUBLICATION[1067]|DATASET[1067]

#Text=\[Version\](https://badge.fury.io/py/karateclub.svg?
2-1	3-4	\[	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-2	4-11	Version	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-3	11-12	\]	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-4	12-13	(	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-5	13-18	https	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-6	18-19	:	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-7	19-20	/	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-8	20-21	/	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-9	21-34	badge.fury.io	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-10	34-35	/	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-11	35-37	py	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-12	37-38	/	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-13	38-52	karateclub.svg	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-13	38-48	karateclub	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]
2-14	52-53	?	*[1068]	PROGLANG[1068]|WORKSHOP[1068]|LICENSE[1068]|ONTOLOGY[1068]|DATASET[1068]|PROJECT[1068]|EVALMETRIC[1068]|SOFTWARE[1068]|PUBLICATION[1068]|CONFERENCE[1068]

#Text=style=plastic)  !
3-1	53-58	style	*[1069]	PROJECT[1069]|PUBLICATION[1069]|ONTOLOGY[1069]|DATASET[1069]|EVALMETRIC[1069]|SOFTWARE[1069]|CONFERENCE[1069]|WORKSHOP[1069]|PROGLANG[1069]|LICENSE[1069]
3-2	58-59	=	*[1069]	PROJECT[1069]|PUBLICATION[1069]|ONTOLOGY[1069]|DATASET[1069]|EVALMETRIC[1069]|SOFTWARE[1069]|CONFERENCE[1069]|WORKSHOP[1069]|PROGLANG[1069]|LICENSE[1069]
3-3	59-66	plastic	*[1069]	PROJECT[1069]|PUBLICATION[1069]|ONTOLOGY[1069]|DATASET[1069]|EVALMETRIC[1069]|SOFTWARE[1069]|CONFERENCE[1069]|WORKSHOP[1069]|PROGLANG[1069]|LICENSE[1069]
3-4	66-67	)	*[1069]	PROJECT[1069]|PUBLICATION[1069]|ONTOLOGY[1069]|DATASET[1069]|EVALMETRIC[1069]|SOFTWARE[1069]|CONFERENCE[1069]|WORKSHOP[1069]|PROGLANG[1069]|LICENSE[1069]
3-5	69-70	!	*[1069]	PROJECT[1069]|PUBLICATION[1069]|ONTOLOGY[1069]|DATASET[1069]|EVALMETRIC[1069]|SOFTWARE[1069]|CONFERENCE[1069]|WORKSHOP[1069]|PROGLANG[1069]|LICENSE[1069]

#Text=\[License\](https://img.shields.io/github/license/benedekrozemberczki/karateclub.svg) \[!
4-1	70-71	\[	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-2	71-78	License	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-3	78-79	\]	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-4	79-80	(	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-5	80-85	https	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-6	85-86	:	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-7	86-87	/	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
4-8	87-88	/	*[1070]	EVALMETRIC[1070]|CONFERENCE[1070]|ONTOLOGY[1070]|PROJECT[1070]|PROGLANG[1070]|WORKSHOP[1070]|LICENSE[1070]|DATASET[1070]|SOFTWARE[1070]|PUBLICATION[1070]
