#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# NetCov NetCov is an open-source tool that can be used with \[Batfish\](https://github.com/batfish/batfish) to analyze test coverage for network configurations.
1-1	0-1	#	*[315]|*[1142]	DATASET[315]|PROGLANG[315]|SOFTWARE[315]|WORKSHOP[315]|LICENSE[315]|PROJECT[315]|ONTOLOGY[315]|EVALMETRIC[315]|PUBLICATION[315]|CONFERENCE[1142]
1-2	2-8	NetCov	*[315]|*[1142]	DATASET[315]|PROGLANG[315]|SOFTWARE[315]|WORKSHOP[315]|LICENSE[315]|PROJECT[315]|ONTOLOGY[315]|EVALMETRIC[315]|PUBLICATION[315]|CONFERENCE[1142]
1-3	9-15	NetCov	*[315]|*[1142]	DATASET[315]|PROGLANG[315]|SOFTWARE[315]|WORKSHOP[315]|LICENSE[315]|PROJECT[315]|ONTOLOGY[315]|EVALMETRIC[315]|PUBLICATION[315]|CONFERENCE[1142]
1-4	16-18	is	*[315]|*[1142]	DATASET[315]|PROGLANG[315]|SOFTWARE[315]|WORKSHOP[315]|LICENSE[315]|PROJECT[315]|ONTOLOGY[315]|EVALMETRIC[315]|PUBLICATION[315]|CONFERENCE[1142]
1-5	19-21	an	*[315]|*[1142]	DATASET[315]|PROGLANG[315]|SOFTWARE[315]|WORKSHOP[315]|LICENSE[315]|PROJECT[315]|ONTOLOGY[315]|EVALMETRIC[315]|PUBLICATION[315]|CONFERENCE[1142]
1-6	22-33	open-source	*[315]|*[1142]	DATASET[315]|PROGLANG[315]|SOFTWARE[315]|WORKSHOP[315]|LICENSE[315]|PROJECT[315]|ONTOLOGY[315]|EVALMETRIC[315]|PUBLICATION[315]|CONFERENCE[1142]
1-7	34-38	tool	*[315]|*[1142]	DATASET[315]|PROGLANG[315]|SOFTWARE[315]|WORKSHOP[315]|LICENSE[315]|PROJECT[315]|ONTOLOGY[315]|EVALMETRIC[315]|PUBLICATION[315]|CONFERENCE[1142]
1-8	39-43	that	*[315]|*[1142]	DATASET[315]|PROGLANG[315]|SOFTWARE[315]|WORKSHOP[315]|LICENSE[315]|PROJECT[315]|ONTOLOGY[315]|EVALMETRIC[315]|PUBLICATION[315]|CONFERENCE[1142]
1-9	44-47	can	*[315]|*[1142]	DATASET[315]|PROGLANG[315]|SOFTWARE[315]|WORKSHOP[315]|LICENSE[315]|PROJECT[315]|ONTOLOGY[315]|EVALMETRIC[315]|PUBLICATION[315]|CONFERENCE[1142]
1-10	48-50	be	*[315]|*[1142]	DATASET[315]|PROGLANG[315]|SOFTWARE[315]|WORKSHOP[315]|LICENSE[315]|PROJECT[315]|ONTOLOGY[315]|EVALMETRIC[315]|PUBLICATION[315]|CONFERENCE[1142]
