#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Code search  This project contains the code to reproduce the experiments in the paper \[Neural Code Search Revisited: Enhancing Code Snippet Retrieval through Natural Language Intent\](https://arxiv.org/abs/2008.12193).
1-1	0-1	#	*[904]|*[946]	WORKSHOP[904]|LICENSE[904]|DATASET[904]|PROJECT[904]|SOFTWARE[904]|PUBLICATION[904]|ONTOLOGY[904]|EVALMETRIC[904]|PROGLANG[904]|CONFERENCE[946]
1-2	2-6	Code	*[904]|*[946]	WORKSHOP[904]|LICENSE[904]|DATASET[904]|PROJECT[904]|SOFTWARE[904]|PUBLICATION[904]|ONTOLOGY[904]|EVALMETRIC[904]|PROGLANG[904]|CONFERENCE[946]
1-3	7-13	search	*[904]|*[946]	WORKSHOP[904]|LICENSE[904]|DATASET[904]|PROJECT[904]|SOFTWARE[904]|PUBLICATION[904]|ONTOLOGY[904]|EVALMETRIC[904]|PROGLANG[904]|CONFERENCE[946]
1-4	15-19	This	*[904]|*[946]	WORKSHOP[904]|LICENSE[904]|DATASET[904]|PROJECT[904]|SOFTWARE[904]|PUBLICATION[904]|ONTOLOGY[904]|EVALMETRIC[904]|PROGLANG[904]|CONFERENCE[946]
1-5	20-27	project	*[904]|*[946]	WORKSHOP[904]|LICENSE[904]|DATASET[904]|PROJECT[904]|SOFTWARE[904]|PUBLICATION[904]|ONTOLOGY[904]|EVALMETRIC[904]|PROGLANG[904]|CONFERENCE[946]
1-6	28-36	contains	*[904]|*[946]	WORKSHOP[904]|LICENSE[904]|DATASET[904]|PROJECT[904]|SOFTWARE[904]|PUBLICATION[904]|ONTOLOGY[904]|EVALMETRIC[904]|PROGLANG[904]|CONFERENCE[946]
1-7	37-40	the	*[904]|*[946]	WORKSHOP[904]|LICENSE[904]|DATASET[904]|PROJECT[904]|SOFTWARE[904]|PUBLICATION[904]|ONTOLOGY[904]|EVALMETRIC[904]|PROGLANG[904]|CONFERENCE[946]
1-8	41-45	code	*[904]|*[946]	WORKSHOP[904]|LICENSE[904]|DATASET[904]|PROJECT[904]|SOFTWARE[904]|PUBLICATION[904]|ONTOLOGY[904]|EVALMETRIC[904]|PROGLANG[904]|CONFERENCE[946]
1-9	46-48	to	*[904]|*[946]	WORKSHOP[904]|LICENSE[904]|DATASET[904]|PROJECT[904]|SOFTWARE[904]|PUBLICATION[904]|ONTOLOGY[904]|EVALMETRIC[904]|PROGLANG[904]|CONFERENCE[946]
1-10	49-58	reproduce	*[904]|*[946]	WORKSHOP[904]|LICENSE[904]|DATASET[904]|PROJECT[904]|SOFTWARE[904]|PUBLICATION[904]|ONTOLOGY[904]|EVALMETRIC[904]|PROGLANG[904]|CONFERENCE[946]
