sentence_idx,original_sentence,original_annotated,generated_annotated,source_file,similarity_score
1,# Proprioception Is All You Need: Terrain Classification for Boreal Forests  !,# <PUBLICATION>Proprioception Is All You Need: Terrain Classification for Boreal Forests</PUBLICATION>  !,# <PUBLICATION>Proprioception Is All You Need: Terrain Classification for Boreal Forests</PUBLICATION> !,../results/deepseek-chat/prompt-0/zzz_norlab-ulaval_BorealTC_master_README.md.tsv/d57d0369.txt,0.9935483870967742
2,"[Husky](assets/husky-in-context.png ""Husky in a Boreal Forest"")  > **Proprioception Is All You Need: Terrain Classification for Boreal Forests**\ > Damien LaRocque, William Guimont-Martin, David-Alexandre Duclos, Philippe Giguère, Francois Pomerleau\ > Paper: https://arxiv.org/abs/2403.16877  This repo contains the source code and the datasets used in our paper _Proprioception Is All You Need: Terrain Classification for Boreal Forests_ that was submitted to the 2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2024).  ## Source Code  Most functions are available in the [`utils`](utils/) directory :  * [`utils/preprocessing.py`](utils/preprocessing.py) contains the functions for the preprocessing pipeline * [`utils/models.py`](utils/models.py) contains the code for the trained models * [`utils/frequency.py`](utils/frequency.py) contains the functions for the multi-channel spectrogram  ### Installation  We recommend installing the dependencies of the repo in a virtual environment.","[Husky](assets/husky-in-context.png ""Husky in a Boreal Forest"")  > **<PUBLICATION>Proprioception Is All You Need: Terrain Classification for Boreal Forests</PUBLICATION>**\ > Damien LaRocque, William Guimont-Martin, David-Alexandre Duclos, Philippe Giguère, Francois Pomerleau\ > Paper: https://arxiv.org/abs/2403.16877  This repo contains the source code and the datasets used in our paper _<PUBLICATION>Proprioception Is All You Need: Terrain Classification for Boreal Forests</PUBLICATION>_ that was submitted to the <CONFERENCE>2024 IEEE/RSJ International Conference on Intelligent Robots and Systems</CONFERENCE> (<CONFERENCE>IROS 2024</CONFERENCE>).  ## Source Code  Most functions are available in the [`utils`](utils/) directory :  * [`utils/preprocessing.py`](utils/preprocessing.py) contains the functions for the preprocessing pipeline * [`utils/models.py`](utils/models.py) contains the code for the trained models * [`utils/frequency.py`](utils/frequency.py) contains the functions for the multi-channel spectrogram  ### Installation  We recommend installing the dependencies of the repo in a virtual environment.","[Husky](assets/husky-in-context.png ""Husky in a Boreal Forest"")  > **<PUBLICATION>Proprioception Is All You Need: Terrain Classification for Boreal Forests</PUBLICATION>**\ > Damien LaRocque, William Guimont-Martin, David-Alexandre Duclos, Philippe Giguère, Francois Pomerleau\ > Paper: https://arxiv.org/abs/2403.16877  This repo contains the source code and the <DATASET>datasets</DATASET> used in our paper _<PUBLICATION>Proprioception Is All You Need: Terrain Classification for Boreal Forests</PUBLICATION>_ that was submitted to the <CONFERENCE>2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2024)</CONFERENCE>.  ## Source Code  Most functions are available in the [utils](utils/) directory :  * [utils/preprocessing.py](utils/preprocessing.py) contains the functions for the preprocessing pipeline * [utils/models.py](utils/models.py) contains the code for the trained models * [utils/frequency.py](utils/frequency.py) contains the functions for the multi-channel spectrogram  ### Installation  We recommend installing the dependencies of the repo in a virtual environment.
",../results/deepseek-chat/prompt-0/zzz_norlab-ulaval_BorealTC_master_README.md.tsv/e7d71678.txt,0.990672557682867
3,"Two dependencies, [`mamba-ssm`](https://github.com/state-spaces/mamba) and [`causal-conv1d`](https://github.com/Dao-AILab/causal-conv1d) require a NVIDIA GPU.","Two dependencies, [`mamba-ssm`](https://github.com/state-spaces/mamba) and [`causal-conv1d`](https://github.com/Dao-AILab/causal-conv1d) require a NVIDIA GPU.","Two dependencies, [<SOFTWARE>mamba-ssm</SOFTWARE>](https://github.com/state-spaces/<SOFTWARE>mamba</SOFTWARE>) and [<SOFTWARE>causal-conv1d</SOFTWARE>](https://github.com/Dao-AILab/<SOFTWARE>causal-conv1d</SOFTWARE>) require a NVIDIA GPU.",../results/deepseek-chat/prompt-0/zzz_norlab-ulaval_BorealTC_master_README.md.tsv/bbced6e7.txt,0.9871794871794872
4,```sh python3.10 -m venv .venv . .venv/bin/activate pip install -r requirements.txt ```  We also provide a `Dockerfile` and a `DockerfileGPU` to build a Docker image with all the dependencies.,```sh <SOFTWARE>python3.10</SOFTWARE> -m venv .venv . .venv/bin/activate <SOFTWARE>pip</SOFTWARE> install -r requirements.txt ```  We also provide a `Dockerfile` and a `DockerfileGPU` to build a <SOFTWARE>Docker</SOFTWARE> image with all the dependencies.,"sh <PROGLANG>python3.10</PROGLANG> -m venv .venv . .venv/bin/activate pip install -r requirements.txt   We also provide a <SOFTWARE>Dockerfile</SOFTWARE> and a <SOFTWARE>DockerfileGPU</SOFTWARE> to build a Docker image with all the dependencies.
",../results/deepseek-chat/prompt-0/zzz_norlab-ulaval_BorealTC_master_README.md.tsv/f78fa111.txt,0.9706666666666667
5,```sh # Build the Docker image docker build -t borealtc-gpu -f DockerfileGPU,```sh # Build the <SOFTWARE>Docker</SOFTWARE> image <SOFTWARE>docker</SOFTWARE> build -t borealtc-gpu -f DockerfileGPU,"sh # Build the Docker image docker build -t <SOFTWARE>borealtc-gpu</SOFTWARE> -f DockerfileGPU
",../results/deepseek-chat/prompt-0/zzz_norlab-ulaval_BorealTC_master_README.md.tsv/a1b113bb.txt,0.9733333333333334
7,"# Run the Docker image docker run --gpus all -e CUDA_VISIBLE_DEVICES=$CUDA_VISIBLE_DEVICES --rm --ipc host \    --mount type=bind,source=.,target=/code/ \    --mount type=bind,source=/dev/shm,target=/dev/shm \    borealtc-gpu python3 main.py ```  ## Dataset  The `data` directory contains two different datasets:  * the `BorealTC` dataset, our publicly available dataset * the `Vulpi` dataset, from the 2021 [paper](https://doi.org/10.1016/j.jterra.2020.12.002) of Vulpi et al.","# Run the <SOFTWARE>Docker</SOFTWARE> image <SOFTWARE>docker</SOFTWARE> run --gpus all -e CUDA_VISIBLE_DEVICES=$CUDA_VISIBLE_DEVICES --rm --ipc host \    --mount type=bind,source=.,target=/code/ \    --mount type=bind,source=/dev/shm,target=/dev/shm \    borealtc-gpu <SOFTWARE>python3</SOFTWARE> main.py ```  ## Dataset  The `data` directory contains two different datasets:  * the `<DATASET>BorealTC</DATASET>` dataset, our publicly available dataset * the `<DATASET>Vulpi</DATASET>` dataset, from the 2021 [paper](https://doi.org/10.1016/j.jterra.2020.12.002) of Vulpi et al.","# Run the <SOFTWARE>Docker</SOFTWARE> image docker run --gpus all -e CUDA_VISIBLE_DEVICES=$CUDA_VISIBLE_DEVICES --rm --ipc host \    --mount type=bind,source=.,target=/code/ \    --mount type=bind,source=/dev/shm,target=/dev/shm \    borealtc-gpu <PROGLANG>python3</PROGLANG> main.py   ## Dataset  The data directory contains two different datasets:  * the <DATASET>BorealTC</DATASET> dataset, our publicly available dataset * the <DATASET>Vulpi</DATASET> dataset, from the 2021 [<PUBLICATION>paper</PUBLICATION>](https://doi.org/10.1016/j.jterra.2020.12.002) of Vulpi et al.
",../results/deepseek-chat/prompt-0/zzz_norlab-ulaval_BorealTC_master_README.md.tsv/7d0ddf84.txt,0.9704016913319239
8,This dataset is originally sourced from their repository [Ph0bi0/T_DEEP](https://github.com/Ph0bi0/T_DEEP).,This dataset is originally sourced from their repository [Ph0bi0/T_DEEP](https://github.com/Ph0bi0/T_DEEP).,This <DATASET>dataset</DATASET> is originally sourced from their repository <PROJECT>[Ph0bi0/T_DEEP]</PROJECT>(<SOFTWARE>https://github.com/Ph0bi0/T_DEEP</SOFTWARE>).,../results/deepseek-chat/prompt-0/zzz_norlab-ulaval_BorealTC_master_README.md.tsv/fcf54b49.txt,1.0
9,The original data is available in the form of `.mat` files.,The original data is available in the form of `.mat` files.,The original data is available in the form of <SOFTWARE>.mat</SOFTWARE> files.,../results/deepseek-chat/prompt-0/zzz_norlab-ulaval_BorealTC_master_README.md.tsv/a6cbd392.txt,0.9827586206896551
10,We converted their data in `*.csv` files to work in Python.,We converted their data in `*.csv` files to work in <PROGLANG>Python</PROGLANG>.,We converted their data in *.csv files to work in <PROGLANG>Python</PROGLANG>.,../results/deepseek-chat/prompt-0/zzz_norlab-ulaval_BorealTC_master_README.md.tsv/0cec7d4d.txt,0.9827586206896551
11,"Each experiment is provided in two files `imu_XX.csv` and `pro_XX.csv`, for the IMU and the wheel service data, respectively.","Each experiment is provided in two files `imu_XX.csv` and `pro_XX.csv`, for the IMU and the wheel service data, respectively.","Each experiment is provided in two files <DATASET>imu_XX.csv</DATASET> and <DATASET>pro_XX.csv</DATASET>, for the IMU and the wheel service data, respectively.",../results/deepseek-chat/prompt-0/zzz_norlab-ulaval_BorealTC_master_README.md.tsv/a2a92ea0.txt,0.983739837398374
12,Both datasets are organized as the following :  ```sh data ├── borealtc │   ├── CLASS1 │   │   ├── imu_00.csv │   │   ├── imu_01.csv │   │   ├── ... │   │   ├── pro_00.csv │   │   ├── pro_01.csv │   │   └── ... │   └── CLASS2 │       ├── imu_00.csv │       ├── imu_01.csv │       ├── ... │       ├── pro_00.csv │       ├── pro_01.csv │       └── ... └── vulpi     ├── CLASS1     │   ├── imu_1.csv     │   ├── imu_2.csv     │   ├──,Both datasets are organized as the following :  ```sh data ├── borealtc │   ├── CLASS1 │   │   ├── imu_00.csv │   │   ├── imu_01.csv │   │   ├── ... │   │   ├── pro_00.csv │   │   ├── pro_01.csv │   │   └── ... │   └── CLASS2 │       ├── imu_00.csv │       ├── imu_01.csv │       ├── ... │       ├── pro_00.csv │       ├── pro_01.csv │       └── ... └── vulpi     ├── CLASS1     │   ├── imu_1.csv     │   ├── imu_2.csv     │   ├──,"Both datasets are organized as the following :  sh data ├── <DATASET>borealtc</DATASET> │   ├── CLASS1 │   │   ├── imu_00.csv │   │   ├── imu_01.csv │   │   ├── ... │   │   ├── pro_00.csv │   │   ├── pro_01.csv │   │   └── ... │   └── CLASS2 │       ├── imu_00.csv │       ├── imu_01.csv │       ├── ... │       ├── pro_00.csv │       ├── pro_01.csv │       └── ... └── <DATASET>vulpi</DATASET>     ├── CLASS1     │   ├── imu_1.csv     │   ├── imu_2.csv     │   ├──
",../results/deepseek-chat/prompt-0/zzz_norlab-ulaval_BorealTC_master_README.md.tsv/e7dd52ee.txt,0.9953379953379954
