sentence_idx,original_sentence,original_annotated,generated_annotated,source_file,similarity_score
1,"# Probabilistic Cross-Modal Embedding (PCME) CVPR 2021  Official Pytorch implementation of PCME | [Paper](https://arxiv.org/abs/2101.05068)  [Sanghyuk Chun](https://sanghyukchun.github.io/home/)<sup>1</sup> [Seong Joon Oh](https://seongjoonoh.com/)<sup>1</sup> Rafael Sampaio de Rezende<sup>2</sup> [Yannis Kalantidis](https://www.skamalas.com/)<sup>2</sup> Diane Larlus<sup>2</sup>  <sup>1</sup><sub>[NAVER AI LAB](https://naver-career.gitbook.io/en/teams/clova-cic)</sub><br> <sup>2</sup><sub>[NAVER LABS Europe](https://europe.naverlabs.com/)</sub>   <a href=""https://www.youtube.com/watch?","# <PUBLICATION>Probabilistic Cross-Modal Embedding (PCME)</PUBLICATION> <CONFERENCE>CVPR 2021</CONFERENCE>  Official <SOFTWARE>Pytorch</SOFTWARE> implementation of PCME | [Paper](https://arxiv.org/abs/2101.05068)  [Sanghyuk Chun](https://sanghyukchun.github.io/home/)<sup>1</sup> [Seong Joon Oh](https://seongjoonoh.com/)<sup>1</sup> Rafael Sampaio de Rezende<sup>2</sup> [Yannis Kalantidis](https://www.skamalas.com/)<sup>2</sup> Diane Larlus<sup>2</sup>  <sup>1</sup><sub>[NAVER AI LAB](https://naver-career.gitbook.io/en/teams/clova-cic)</sub><br> <sup>2</sup><sub>[NAVER LABS Europe](https://europe.naverlabs.com/)</sub>   <a href=""https://www.youtube.com/watch?","# <PROJECT>Probabilistic Cross-Modal Embedding (PCME)</PROJECT> <CONFERENCE>CVPR 2021</CONFERENCE>  Official <PROGLANG>Pytorch</PROGLANG> implementation of <PROJECT>PCME</PROJECT> | [<PUBLICATION>Paper</PUBLICATION>](https://arxiv.org/abs/2101.05068)  [Sanghyuk Chun](https://sanghyukchun.github.io/home/)<sup>1</sup> [Seong Joon Oh](https://seongjoonoh.com/)<sup>1</sup> Rafael Sampaio de Rezende<sup>2</sup> [Yannis Kalantidis](https://www.skamalas.com/)<sup>2</sup> Diane Larlus<sup>2</sup>  <sup>1</sup><sub>[<PROJECT>NAVER AI LAB</PROJECT>](https://naver-career.gitbook.io/en/teams/clova-cic)</sub><br> <sup>2</sup><sub>[<PROJECT>NAVER LABS Europe</PROJECT>](https://europe.naverlabs.com/)</sub>   <a href=""https://www.youtube.com/watch?
",../results/deepseek-chat/prompt-0/zzz_naver-ai_pcme_main_README.md.tsv\8647834a.txt,0.9991575400168492
2,"v=J_DaqSLEcVk""><img src=""http://img.youtube.com/vi/J_DaqSLEcVk/0.jpg""  alt=""VIDEO"" width=""700"" border=""10"" /></a>   ## Updates  - Jan 2024: [PCME++](https://openreview.net/forum?","v=J_DaqSLEcVk""><img src=""http://img.youtube.com/vi/J_DaqSLEcVk/0.jpg""  alt=""VIDEO"" width=""700"" border=""10"" /></a>   ## Updates  - Jan 2024: [PCME++](https://openreview.net/forum?","v=J_DaqSLEcVk""><img src=""http://img.youtube.com/vi/J_DaqSLEcVk/0.jpg""  alt=""VIDEO"" width=""700"" border=""10"" /></a>   ## Updates  - Jan 2024: [<PUBLICATION>PCME++</PUBLICATION>](https://openreview.net/forum?
",../results/deepseek-chat/prompt-0/zzz_naver-ai_pcme_main_README.md.tsv\7b982729.txt,0.9971988795518207
3,"id=ft1mr3WlGM), the improved version of PCME, is accepted at ICLR 2024.","id=ft1mr3WlGM), the improved version of PCME, is accepted at <CONFERENCE>ICLR 2024</CONFERENCE>.","id=ft1mr3WlGM), the improved version of PCME, is accepted at <CONFERENCE>ICLR 2024</CONFERENCE>.
",../results/deepseek-chat/prompt-0/zzz_naver-ai_pcme_main_README.md.tsv\de20239e.txt,0.993006993006993
4,Please use [naver-ai/pcmepp](https://github.com/naver-ai/pcmepp) for the improved version!,Please use [naver-ai/pcmepp](https://github.com/naver-ai/pcmepp) for the improved version!,Please use [<SOFTWARE>naver-ai/pcmepp</SOFTWARE>](https://github.com/<SOFTWARE>naver-ai/pcmepp</SOFTWARE>) for the improved version!,../results/deepseek-chat/prompt-0/zzz_naver-ai_pcme_main_README.md.tsv\878118e2.txt,1.0
5,"- 16 Jul, 2022: Add PCME CutMix-pretrained weight (used for [ECCV Caption](https://github.com/naver-ai/eccv-caption) paper) - 23 Jun, 2021: Initial upload.  ## Installation  Install dependencies using the following command.  ``` pip install cython && pip install -r requirements.txt python -c 'import nltk; nltk.download(""punkt"", download_dir=""/opt/conda/nltk_data"")' git clone https://github.com/NVIDIA/apex && cd apex && pip install -v --no-cache-dir --global-option=""--cpp_ext"" --global-option=""--cuda_ext"" ./ ```  ### Dockerfile  You can use my docker image as well ``` docker pull sanghyukchun/pcme:torch1.2-apex-dali ```  Please Add `--model__cache_dir /vector_cache` when you run the code  ## Configuration  All experiments are based on configuration files (see [config/coco](config/coco) and [config/cub](config/cub)).","- 16 Jul, 2022: Add PCME CutMix-pretrained weight (used for [ECCV Caption](https://github.com/naver-ai/eccv-caption) paper) - 23 Jun, 2021: Initial upload.  ## Installation  Install dependencies using the following command.  ``` <SOFTWARE>pip</SOFTWARE> install <SOFTWARE>cython</SOFTWARE> && <SOFTWARE>pip</SOFTWARE> install -r requirements.txt <SOFTWARE>python</SOFTWARE> -c 'import nltk; nltk.download(""punkt"", download_dir=""/opt/conda/nltk_data"")' git clone https://github.com/NVIDIA/apex && cd apex && <SOFTWARE>pip</SOFTWARE> install -v --no-cache-dir --global-option=""--cpp_ext"" --global-option=""--cuda_ext"" ./ ```  ### Dockerfile  You can use my <SOFTWARE>docker</SOFTWARE> image as well ``` <SOFTWARE>docker</SOFTWARE> pull sanghyukchun/pcme:<SOFTWARE>torch1.2</SOFTWARE>-apex-dali ```  Please Add `--model__cache_dir /vector_cache` when you run the code  ## Configuration  All experiments are based on configuration files (see [config/<DATASET>coco</DATASET>](config/<DATASET>coco</DATASET>) and [config/cub](config/cub)).","- 16 Jul, 2022: Add PCME CutMix-pretrained weight (used for [<PUBLICATION>ECCV Caption</PUBLICATION>](https://github.com/naver-ai/eccv-caption) paper) - 23 Jun, 2021: Initial upload.  ## Installation  Install dependencies using the following command.   pip install cython && pip install -r requirements.txt python -c 'import nltk; nltk.download(""punkt"", download_dir=""/opt/conda/nltk_data"")' git clone https://github.com/NVIDIA/apex && cd apex && pip install -v --no-cache-dir --global-option=""--cpp_ext"" --global-option=""--cuda_ext"" ./   ### Dockerfile  You can use my docker image as well  docker pull sanghyukchun/pcme:torch1.2-apex-dali   Please Add --model__cache_dir /vector_cache when you run the code  ## Configuration  All experiments are based on configuration files (see [config/coco](config/coco) and [config/cub](config/cub)).
",../results/deepseek-chat/prompt-0/zzz_naver-ai_pcme_main_README.md.tsv\921f4ba0.txt,0.9908480780964003
6,"If you want to change only a few options, instead of re-writing a new configuration file, you can override the configuration as the follows:  ``` python <train | eval>.py --dataloader__batch_size 32 --dataloader__eval_batch_size 8 --model__eval_method matching_prob ```  See [config/parser.py](config/parser.py) for details  ## Dataset preparation  ### COCO Caption  We followed the same split provided by [VSE++](http://www.cs.toronto.edu/~faghri/vsepp/data.tar).","If you want to change only a few options, instead of re-writing a new configuration file, you can override the configuration as the follows:  ``` <SOFTWARE>python</SOFTWARE> <train | eval>.py --dataloader__batch_size 32 --dataloader__eval_batch_size 8 --model__eval_method matching_prob ```  See [config/parser.py](config/parser.py) for details  ## Dataset preparation  ### <DATASET>COCO Caption</DATASET>  We followed the same split provided by [VSE++](http://www.cs.toronto.edu/~faghri/vsepp/data.tar).","If you want to change only a few options, instead of re-writing a new configuration file, you can override the configuration as the follows:   <PROGLANG>python</PROGLANG> <train | eval>.py --dataloader__batch_size 32 --dataloader__eval_batch_size 8 --model__eval_method matching_prob   See [config/parser.py](config/parser.py) for details  ## Dataset preparation  ### <DATASET>COCO Caption</DATASET>  We followed the same split provided by [<SOFTWARE>VSE++</SOFTWARE>](http://www.cs.toronto.edu/~faghri/vsepp/data.tar).
",../results/deepseek-chat/prompt-0/zzz_naver-ai_pcme_main_README.md.tsv\92f6f671.txt,0.9924160346695557
7,Dataset splits can be found in [datasets/annotations](datasets/annotations).,Dataset splits can be found in [datasets/annotations](datasets/annotations).,<DATASET>Dataset splits</DATASET> can be found in [datasets/annotations](datasets/annotations).,../results/deepseek-chat/prompt-0/zzz_naver-ai_pcme_main_README.md.tsv\5b225a2c.txt,1.0
8,"Note that we also need `instances_<train | val>2014.json` for computing PMRP score.  ### CUB Caption  Download images (CUB-200-2011) from [this link](http://www.vision.caltech.edu/visipedia/CUB-200-2011.html), and download caption from [reedscot/cvpr2016](https://github.com/reedscot/cvpr2016).","Note that we also need `instances_<train | val>2014.json` for computing <EVALMETRIC>PMRP</EVALMETRIC> score.  ### <DATASET>CUB Caption</DATASET>  Download images (<DATASET>CUB-200-2011</DATASET>) from [this link](http://www.vision.caltech.edu/visipedia/<DATASET>CUB-200-2011</DATASET>.html), and download caption from [reedscot/<CONFERENCE>cvpr2016</CONFERENCE>](https://github.com/reedscot/<CONFERENCE>cvpr2016</CONFERENCE>).","Note that we also need <DATASET>instances_<train | val>2014.json</DATASET> for computing <EVALMETRIC>PMRP</EVALMETRIC> score.  ### <DATASET>CUB Caption</DATASET>  Download images (<DATASET>CUB-200-2011</DATASET>) from [this link](http://www.vision.caltech.edu/visipedia/<DATASET>CUB-200-2011</DATASET>.html), and download caption from [reedscot/<CONFERENCE>cvpr2016</CONFERENCE>](https://github.com/reedscot/<CONFERENCE>cvpr2016</CONFERENCE>).
",../results/deepseek-chat/prompt-0/zzz_naver-ai_pcme_main_README.md.tsv\58968a87.txt,0.9948892674616695
9,"You can use the image path and the caption path separately in the code.  ## Evaluate pretrained models  NOTE: the current implementation of plausible match R-Precision (PMRP) is not efficient: <br> It first dumps all ranked items for each item to a local file, and compute R-precision.","You can use the image path and the caption path separately in the code.  ## Evaluate pretrained models  NOTE: the current implementation of <EVALMETRIC>plausible match R-Precision</EVALMETRIC> (<EVALMETRIC>PMRP</EVALMETRIC>) is not efficient: <br> It first dumps all ranked items for each item to a local file, and compute <EVALMETRIC>R-precision</EVALMETRIC>.","You can use the image path and the caption path separately in the code.  ## Evaluate pretrained models  NOTE: the current implementation of plausible match <EVALMETRIC>R-Precision</EVALMETRIC> (<EVALMETRIC>PMRP</EVALMETRIC>) is not efficient: <br> It first dumps all ranked items for each item to a local file, and compute <EVALMETRIC>R-precision</EVALMETRIC>.
",../results/deepseek-chat/prompt-0/zzz_naver-ai_pcme_main_README.md.tsv\e4f3f55f.txt,0.9982486865148862
10,<br> We are planning to re-implement efficient PMRP as soon as possible.  ### COCO Caption  ``` # Compute recall metrics python evaluate_recall_coco.py .,<br> We are planning to re-implement efficient <EVALMETRIC>PMRP</EVALMETRIC> as soon as possible.  ### <DATASET>COCO Caption</DATASET>  ``` # Compute <EVALMETRIC>recall</EVALMETRIC> metrics <SOFTWARE>python</SOFTWARE> evaluate_<EVALMETRIC>recall</EVALMETRIC>_<DATASET>coco</DATASET>.py .,"<br> We are planning to re-implement efficient PMRP as soon as possible.  ### <DATASET>COCO Caption</DATASET>   # Compute recall metrics python evaluate_recall_coco.py .
",../results/deepseek-chat/prompt-0/zzz_naver-ai_pcme_main_README.md.tsv\97b89453.txt,0.9868421052631579
