```
## Entities Annotated: 12
CONFERENCE: International Joint Conference on Artificial Intelligence (IJCAI)
CONFERENCE: International Conference on Machine Learning (ICML)
CONFERENCE: International Conference on Artificial Intelligence and Statistics (AISTATS)
CONFERENCE: International Conference on Computational Linguistics (COLING)
CONFERENCE: International Conference on Computational Semantics (CCS)
CONFERENCE: International Conference on Computational Linguistics (COLING)
CONFERENCE: International Conference on Computational Linguistics (COLING)
CONFERENCE: International Conference on Computational Linguistics (COLING)
CONFERENCE: International Conference on Machine Learning (ICML)
CONFERENCE: International Conference on Machine Learning (ICML)
DATASET: COCO
DATASET: ImageNet
DATASET: PASCAL VOC
DATASET: Open Images Dataset
DATASET: Open Images Dataset
DATASET: PASCAL VOC
DATASET: PASCAL VOC
DATASET: PASCAL VOC
DATASET: PASCAL VOC
DATASET: PASCAL VOC
DATASET: PASCAL VOC
DATASET: PASCAL VOC
LICENSE: CC BY-NC 4.0
LICENSE: CC BY-NC 4.0
LICENSE: CC BY-NC 4.0
LICENSE: CC BY-NC 4.0
LICENSE: CC BY-NC 4.0
LICENSE: CC BY-NC 4.0
LICENSE: CC BY-NC 4.0
LICENSE: CC BY-NC 4.0
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task Ontology
ONTOLOGY: Task On
